id,name,number_of_paintings,row,col,x,y,changes,,line1,line2,line3,line4,y-original
49,Jackson Pollock,12,6,2,113,89,,,32,24,16,8,121
39,Eugene Delacroix,16,8,2,139,89,,,,,,,121
41,Georges Seurat,22,8,3,165,89,,,,,,,121
25,Caravaggio,23,8,3,201,89,changed from 24 to 23,,,,,,121
38,Paul Cezanne,23,8,3,237,89,from 24 to 23,,,,,,121
48,Michelangelo,25,9,3,273,89,,,,,,,121
34,Gustave Courbet,29,10,3,309,89,from 30 to 29,,,,,,121
2,Diego Rivera,30,10,3,345,89,changed from 31 to 30,,,,,,121
3,Claude Monet,32,11,3,381,89,,,,,,,121
36,William Turner,32,11,3,417,89,from 33 to 32,,,,,,121
37,Edvard Munch,34,9,4,453,89,,,,,,,121
40,Henri Rousseau,35,9,4,499,89,,,,,,,121
35,Camille Pissarro,39,10,4,545,89,changed from 40 to 39,,,,,,121
29,Jan van Eyck,40,10,4,591,89,from 41 to 40,,,,,,121
33,Henri de Toulouse-Lautrec,41,11,4,637,89,,,,,,,121
43,Piet Mondrian,41,11,4,683,89,from 42 to 41,,,,,,121
1,Vasiliy Kandinskiy,43,11,4,729,89,from 44 to 43,,,,,,121
7,Andrei Rublev,43,11,4,775,89,changed from 44 to 43,,,,,,121
18,El Greco,43,11,4,821,89,changed from 44 to 43,,,,,,121
6,Edouard Manet,44,9,5,867,89,changed from 45 to 44,,,,,,121
44,Joan Miro,50,11,5,923,89,from 51 to 50,,,,,,121
47,Raphael,54,11,5,979,89,from 55 to 54,,,,,,121
27,Diego Velazquez,55,10,6,113,231,changed from 56 to 55,,,,,,255
9,Gustav Klimt,58,10,6,179,231,from 59 to 58,,,,,,255
23,Giotto di Bondone,59,10,6,245,231,changed from 60 to 59,,,,,,255
17,Frida Kahlo,60,10,6,311,231,,,,,,,255
11,Kazimir Malevich,63,9,7,377,231,,,,,,,255
21,Pieter Bruegel,65,10,7,453,231,from 67 to 65,,,,,,255
10,Hieronymus Bosch,68,10,7,529,231,from 69 to 68,,,,,,255
5,Salvador Dali,70,10,7,605,231,,,,,,,255
26,Leonardo da Vinci,70,10,7,681,231,from 72 to 70,,,,,,255
14,Peter Paul Rubens,71,9,8,757,231,,,,,,,255
45,Andy Warhol,80,10,8,843,231,,,,,,,255
24,Sandro Botticelli,82,10,9,929,231,,,,,,,255
0,Amedeo Modigliani,85,10,9,113,363,,,,,,,379
12,Mikhail Vrubel,86,10,9,209,363,,,,,,,379
28,Henri Matisse,92,10,10,305,363,from 93 to 92,,,,,,379
42,Paul Klee,93,10,10,411,363,from 94 to 93,,,,,,379
4,Rene Magritte,97,10,10,517,363,,,,,,,379
20,Alfred Sisley,114,10,12,623,363,,,,,,,379
16,Francisco Goya,119,10,12,749,363,146 to 119,,,,,,379
22,Marc Chagall,120,10,12,875,363,,,,,,,379
32,Titian,126,9,14,113,495,from 128 to 126,,,,,,503
31,Rembrandt,131,9,15,259,495,,,,,,,503
19,Albrecht Durer,142,9,16,415,495,CHANGED FROM 143 TO 142,,,,,,503
46,Paul Gauguin,155,9,18,582,495,from 156 to 155,,,,,,503
15,Pierre-Auguste Renoir,167,9,19,768,495,from 168 to 167,,,,,,503
13,Pablo Picasso,216,11,20,113,617,from220 to 216,,,,,,617
30,Edgar Degas,307,11,28,319,617,changed from 308 to 307,,,,,,617
8,Vincent van Gogh,439,11,41,605,617,,,,,,,617